token,label_1,label_2,labels (1),30 classes,99.93% completed,labels (2),1,0.02% completed,Notes
original,b-field,,b-acion,1,0.01%,X,0.00%,,
and,b-and,,b-action,256,3.21%,,,,
2,b-field,,b-actor,726,9.10%,,,,
copies,i-field,,b-after,105,1.32%,,,,
of,b-of,,b-and,1227,15.38%,,,,
signed,b-field,,b-at,8,0.10%,,,,
commercial,b-document,,b-before,1,0.01%,,,,
invoice,i-document,,b-by,251,3.15%,,,,
,,,b-document,1236,15.50%,,,,
full,O,,b-field,4038,50.63%,,,,
set,O,,b-filed,1,0.01%,,,,
(,O,,b-for,11,0.14%,,,,
3,O,,b-from,1,0.01%,,,,
/,O,,b-goods,113,1.42%,,,,
3,O,,b-in,424,,,,,
"),",O,,b-of,430,,,,,
plus,O,,b-or,228,,,,,
3,b-field,,b-the,1,,,,,
non,i-field,,b-to,,,,,,
-,i-field,,b-with,,,,,,
negotiable,i-field,,b-within,,,,,,
copies,i-field,,i-action,,,,,,
of,O,,i-actor,,,,,,
original,b-field,,i-before,,,,,,
clean,b-document,,i-document,,,,,,
on,i-document,,i-field,,,,,,
board,i-document,,i-field ,,,,,,
marine,i-document,,O,,,,,,
bills,i-document,,o,,,,,,
of,i-document,,X,,,,,,
lading,i-document,,,,,,,,
issued,O,,,,,,,,
to,O,,,,,,,,
the,O,,,,,,,,
order,O,,,,,,,,
of,b-of,,,,,,,,
commercial,b-actor,,,,,,,,
bank,i-actor,,,,,,,,
of,i-actor,,,,,,,,
ethiopia,i-actor,,,,,,,,
",",O,,,,,,,,
and,b-and,,,,,,,,
further,O,,,,,,,,
endorsed,O,,,,,,,,
to,O,,,,,,,,
the,O,,,,,,,,
order,O,,,,,,,,
of,b-of,,,,,,,,
hsbc,b-actor,,,,,,,,
uk,i-actor,,,,,,,,
bank,i-actor,,,,,,,,
plc,i-actor,,,,,,,,
",",i-actor,,,,,,,,
uk,i-actor,,,,,,,,
",",O,,,,,,,,
marked,b-field,,,,,,,,
freight,i-field,,,,,,,,
collect,i-field,,,,,,,,
",",O,,,,,,,,
and,b-and,,,,,,,,
marked,b-actor,,,,,,,,
notify,i-actor,,,,,,,,
:,i-actor,,,,,,,,
1,i-actor,,,,,,,,
),i-actor,,,,,,,,
coffee,i-actor,,,,,,,,
co,i-actor,,,,,,,,
.,i-actor,,,,,,,,
ltd,i-actor,,,,,,,,
",",i-actor,,,,,,,,
3f,i-actor,,,,,,,,
",",i-actor,,,,,,,,
yon,i-actor,,,,,,,,
-,i-actor,,,,,,,,
ro,i-actor,,,,,,,,
7,i-actor,,,,,,,,
gil,i-actor,,,,,,,,
17,i-actor,,,,,,,,
",",i-actor,,,,,,,,
s,i-actor,,,,,,,,
-,i-actor,,,,,,,,
gu,i-actor,,,,,,,,
",",i-actor,,,,,,,,
soeul,i-actor,,,,,,,,
",",i-actor,,,,,,,,
korea,i-actor,,,,,,,,
",",i-actor,,,,,,,,
postal,i-actor,,,,,,,,
114,i-actor,,,,,,,,
",",i-actor,,,,,,,,
tel,i-actor,,,,,,,,
.,i-actor,,,,,,,,
82,i-actor,,,,,,,,
-,i-actor,,,,,,,,
10,i-actor,,,,,,,,
-,i-actor,,,,,,,,
223334,i-actor,,,,,,,,
",",i-actor,,,,,,,,
fax,i-actor,,,,,,,,
.,i-actor,,,,,,,,
82,i-actor,,,,,,,,
-,i-actor,,,,,,,,
2,i-actor,,,,,,,,
-,i-actor,,,,,,,,
2233381,i-actor,,,,,,,,
,,,,,,,,,
original,b-field,,,,,,,,
and,b-and,,,,,,,,
1,b-field,,,,,,,,
copy,i-field,,,,,,,,
of,b-of,,,,,,,,
weight,b-document,,,,,,,,
certificate,i-document,,,,,,,,
,,,,,,,,,
original,b-field,,,,,,,,
and,b-and,,,,,,,,
1,b-field,,,,,,,,
copy,i-field,,,,,,,,
of,b-of,,,,,,,,
international,b-document,,,,,,,,
coffee,i-document,,,,,,,,
organisation,i-document,,,,,,,,
(,i-document,,,,,,,,
ico,i-document,,,,,,,,
),i-document,,,,,,,,
certificate,i-document,,,,,,,,
,,,,,,,,,
one,b-field,,,,,,,,
copy,i-field,,,,,,,,
of,b-of,,,,,,,,
phytosanitary,b-document,,,,,,,,
certificate,i-document,,,,,,,,
-,O,,,,,,,,
issuing,b-field,,,,,,,,
date,i-field,,,,,,,,
or,b-or,,,,,,,,
inspection,b-field,,,,,,,,
date,i-field,,,,,,,,
prior,b-before,,,,,,,,
to,i-before,,,,,,,,
bl,b-document,,,,,,,,
shipped,b-field,,,,,,,,
on,i-field,,,,,,,,
board,i-field,,,,,,,,
date,i-field,,,,,,,,
,,,,,,,,,
original,b-field,,,,,,,,
and,b-and,,,,,,,,
1,b-field,,,,,,,,
copy,i-field,,,,,,,,
of,b-of,,,,,,,,
annex,b-document,,,,,,,,
iii,i-document,,,,,,,,
certificate,i-document,,,,,,,,
of,i-document,,,,,,,,
origin,i-document,,,,,,,,
for,O,,,,,,,,
preferential,b-field,,,,,,,,
tariff,i-field,,,,,,,,
for,O,,,,,,,,
least,b-field,,,,,,,,
developed,i-field,,,,,,,,
countries,i-field,,,,,,,,
,,,,,,,,,
original,b-field,,,,,,,,
and,b-and,,,,,,,,
1,b-field,,,,,,,,
copy,i-field,,,,,,,,
of,b-of,,,,,,,,
packing,b-document,,,,,,,,
list,i-document,,,,,,,,
